ratio,ML_min,OSRM_min,km,od_pair,hist_spd,hour,src_lat,src_lng,dst_lat,dst_lng,new_XGB_min,new_RF_min,new_hist_level,new_ratio_XGB,change_XGB_min,change_XGB_pct,still_divergent_XGB,new_ratio_RF,change_RF_min,change_RF_pct,still_divergent_RF
3.3,19.5,5.9,4.44,7_7,16.9,06:15,23.7702,90.40846,23.76371,90.38374,12.5,12.8,od_pair+period,2.12,-7.0,-35.9,True,2.17,-6.7,-34.4,True
3.3,6.0,1.8,1.01,7_7,20.4,05:00,23.76278,90.36263,23.76201,90.3538,3.9,3.9,od_pair_only,2.17,-2.1,-35.0,True,2.17,-2.1,-35.0,True
3.3,5.7,1.7,1.03,7_7,20.4,05:00,23.74603,90.37134,23.74455,90.3734,3.7,3.1,od_pair+period,2.18,-2.0,-35.1,True,1.82,-2.6,-45.6,False
3.3,22.1,6.7,3.66,7_7,16.9,06:15,23.83883,90.37495,23.82535,90.35412,12.7,13.0,od_pair_only,1.9,-9.4,-42.5,False,1.94,-9.1,-41.2,False
3.3,7.2,2.2,1.19,7_7,20.4,05:00,23.73699,90.43016,23.73992,90.42749,3.9,4.1,od_pair+period,1.77,-3.3,-45.8,False,1.86,-3.1,-43.1,False
3.3,6.4,1.9,0.88,8_8,68.5,05:00,23.76237,90.44231,23.75959,90.44943,5.8,4.5,od_pair+period,3.05,-0.6,-9.4,True,2.37,-1.9,-29.7,True
3.3,28.2,8.6,5.94,7_7,16.9,06:15,23.7824,90.36864,23.80613,90.38277,17.2,14.0,od_pair+period,2.0,-11.0,-39.0,True,1.63,-14.2,-50.4,False
3.3,21.7,6.6,3.51,7_7,16.9,06:15,23.83018,90.42156,23.80737,90.41769,14.5,12.8,od_pair+period,2.2,-7.2,-33.2,True,1.94,-8.9,-41.0,False
3.3,5.2,1.6,0.69,7_7,20.4,05:00,23.79137,90.36568,23.78925,90.36656,3.1,3.1,od_pair_only,1.94,-2.1,-40.4,False,1.94,-2.1,-40.4,False
3.3,9.1,2.8,1.26,7_7,20.4,05:00,23.86482,90.40383,23.86871,90.40481,4.9,4.8,od_pair+period,1.75,-4.2,-46.2,False,1.71,-4.3,-47.3,False
3.3,19.3,5.9,3.18,7_7,16.9,06:15,23.74777,90.38363,23.74735,90.36879,13.1,11.4,od_pair+period,2.22,-6.2,-32.1,True,1.93,-7.9,-40.9,False
3.3,9.9,3.0,1.64,7_7,20.4,05:00,23.77885,90.40804,23.78178,90.41358,4.4,4.7,od_pair+period,1.47,-5.5,-55.6,False,1.57,-5.2,-52.5,False
3.3,23.8,7.3,3.96,7_7,16.9,06:15,23.83144,90.42467,23.80939,90.42857,14.9,13.0,od_pair+period,2.04,-8.9,-37.4,True,1.78,-10.8,-45.4,False
3.3,18.2,5.6,3.31,7_7,16.9,06:15,23.75681,90.35151,23.73469,90.3601,10.7,10.4,od_pair_only,1.91,-7.5,-41.2,False,1.86,-7.8,-42.9,False
3.3,10.0,3.1,1.3,7_7,19.5,22:00,23.7921,90.35869,23.791,90.35113,8.5,7.0,od_pair+period,2.74,-1.5,-15.0,True,2.26,-3.0,-30.0,True
3.2,10.3,3.2,1.36,7_7,19.5,22:00,23.78652,90.36597,23.79369,90.36075,9.6,7.1,od_pair+period,3.0,-0.7,-6.8,True,2.22,-3.2,-31.1,True
3.2,6.7,2.1,1.18,7_7,20.4,05:00,23.7702,90.40846,23.76694,90.40927,4.1,3.7,od_pair+period,1.95,-2.6,-38.8,False,1.76,-3.0,-44.8,False
3.2,10.9,3.4,1.41,7_7,19.5,22:00,23.80617,90.35555,23.81474,90.35652,8.4,7.1,od_pair+period,2.47,-2.5,-22.9,True,2.09,-3.8,-34.9,True
3.2,7.0,2.2,1.43,7_7,19.5,22:00,23.82433,90.36874,23.8157,90.36663,6.5,4.8,od_pair+period,2.95,-0.5,-7.1,True,2.18,-2.2,-31.4,True
3.2,7.2,2.3,1.1,7_7,20.4,05:00,23.78027,90.3668,23.77607,90.36777,7.2,6.3,od_pair_only,3.13,0.0,0.0,True,2.74,-0.9,-12.5,True
3.2,19.0,6.0,3.29,7_7,16.9,06:15,23.82976,90.41982,23.80737,90.41769,14.2,12.9,od_pair+period,2.37,-4.8,-25.3,True,2.15,-6.1,-32.1,True
3.2,6.8,2.1,1.03,7_7,20.4,05:00,23.74869,90.40804,23.75154,90.40646,4.1,4.2,od_pair+period,1.95,-2.7,-39.7,False,2.0,-2.6,-38.2,True
3.2,51.3,16.1,10.92,7_8,12.5,22:00,23.76572,90.41464,23.82348,90.43985,45.6,34.5,od_pair+period,2.83,-5.7,-11.1,True,2.14,-16.8,-32.7,True
3.2,9.3,2.9,1.54,7_7,20.4,05:00,23.7664,90.35271,23.76745,90.35886,6.0,5.8,od_pair_only,2.07,-3.3,-35.5,True,2.0,-3.5,-37.6,True
3.2,18.7,5.9,5.17,7_7,16.9,06:15,23.77005,90.39889,23.74438,90.39674,12.6,11.4,od_pair+period,2.14,-6.1,-32.6,True,1.93,-7.3,-39.0,False
3.2,50.8,16.1,10.16,7_8,12.5,22:00,23.83021,90.38717,23.82051,90.4505,46.8,34.4,od_pair+period,2.91,-4.0,-7.9,True,2.14,-16.4,-32.3,True
3.2,36.0,11.4,7.52,12_12,12.0,06:15,23.90969,90.39641,23.90672,90.41704,13.9,10.7,od_pair_only,1.22,-22.1,-61.4,False,0.94,-25.3,-70.3,False
3.1,9.7,3.1,1.84,7_7,20.4,05:00,23.76867,90.35731,23.77629,90.36181,6.2,5.5,od_pair_only,2.0,-3.5,-36.1,True,1.77,-4.2,-43.3,False
3.1,24.8,7.9,5.64,7_7,16.9,06:15,23.77343,90.42717,23.79776,90.4241,14.2,10.5,od_pair+period,1.8,-10.6,-42.7,False,1.33,-14.3,-57.7,False
3.1,8.9,2.8,1.33,7_7,20.4,05:00,23.75876,90.42953,23.76158,90.43876,4.2,3.9,od_pair+period,1.5,-4.7,-52.8,False,1.39,-5.0,-56.2,False
3.1,18.4,5.9,3.77,7_7,16.9,06:15,23.77287,90.42806,23.78436,90.42257,12.2,11.2,od_pair+period,2.07,-6.2,-33.7,True,1.9,-7.2,-39.1,False
3.1,21.6,7.0,4.65,7_7,16.9,06:15,23.82911,90.38756,23.8157,90.36663,13.3,10.6,od_pair_only,1.9,-8.3,-38.4,False,1.51,-11.0,-50.9,False
3.1,14.5,4.7,1.91,7_7,16.9,06:15,23.79055,90.37561,23.78652,90.36597,6.9,6.7,od_pair_only,1.47,-7.6,-52.4,False,1.43,-7.8,-53.8,False
3.1,8.4,2.7,1.32,7_7,19.5,22:00,23.78397,90.42238,23.78004,90.41384,8.0,5.9,od_pair+period,2.96,-0.4,-4.8,True,2.19,-2.5,-29.8,True
3.1,46.0,14.9,9.36,7_8,12.5,22:00,23.77687,90.41231,23.82348,90.43985,44.7,33.2,od_pair+period,3.0,-1.3,-2.8,True,2.23,-12.8,-27.8,True
